head	relation	tail
PTPRG-AS1	ceRNA or sponge	HDAC4
OXCT1-AS1	ceRNA or sponge	JAK1
HOTAIR	epigenetic regulation	PCDH10
UCA1	ceRNA or sponge	CCND2
NSUN2	epigenetic regulation	LINC01672
HOTAIR	epigenetic regulation	PCDHB5
LINC01013	expression association	SNAI1
RP11-361F15.2	ceRNA or sponge	CPEB4
MYC	expression association	SNHG16
TGFB1	expression association	UCA1
PRECSIT	transcriptional regulation	CTCF
ILF3-DT	ceRNA or sponge	IL-1Â¦Ã
AP000439.3	expression association	CCND1
lncRNA1403	expression association	TNF
FENDRR	expression association	MMP2
RP11-323N12.5	transcriptional regulation	YAP1
SNHG12	ceRNA or sponge	MAPK1
DANCR	interact with protein	EZH2
UCA1	expression association	TJP1
SNHG3	ceRNA or sponge	SRGN
SNHG3	transcriptional regulation	CDKN1A
WFDC21P	interact with protein	PFKP
E2F1	transcriptional regulation	H19
LINC00339	ceRNA or sponge	IGF1R
EZH2	epigenetic regulation	SPRY4-IT1
NEAT1	ceRNA or sponge	NR4A2
TUSC8	ceRNA or sponge	MYLIP
miR-125b-5p	ceRNA or sponge	HOTTIP
VLDLR-AS1	expression association	ABCG2
PVT1	ceRNA or sponge	CDK1
HOXA-AS2	expression association	NOTCH1
CHAR	ceRNA or sponge	AKT1
CCAT1	ceRNA or sponge	ZEB1
FOXD2-AS1	ceRNA or sponge	PFN2
RASSF1-AS1	interact with protein	SUZ12
ZNF667-AS1	ceRNA or sponge	PEG3
NEAT1	expression association	miR-129-5p
LINC01018	ceRNA or sponge	FOXO1
FOXD3-AS1	ceRNA or sponge	MAP3K2
TPTE2P1	expression association	PARP1
NEAT1	expression association	MIR140
FENDRR	expression association	ABCC1
LINC00261	expression association	miR-23a-3p
MIR205HG	expression association	SRSF1
ZFAS1	ceRNA or sponge	miR-135a
DUXAP8	ceRNA or sponge	PDK2
PSTPIP1	ceRNA or sponge	miRNA-188-5p
MIR31HG	interact with protein	EZH2
LINC-ROR	ceRNA or sponge	MST1
sONE	expression association	let-7a
ZFAS1	ceRNA or sponge	HMGA2
LINC00161	ceRNA or sponge	IFIT2
NEAT1	ceRNA or sponge	GPD1L
VPS9D1-AS1	ceRNA or sponge	HMGA2
LINC00668	ceRNA or sponge	KLF7
HULC	ceRNA or sponge	RAC1
SEMA3B-AS1	ceRNA or sponge	PTEN
SOX21-AS1	ceRNA or sponge	PIM2
RP11-468E2.5	expression association	IFI27
SNHG7	ceRNA or sponge	ELK1
ENST	expression association	PIK3CA
LINC00336	ceRNA or sponge	CBS
NEAT1	interact with protein	DDX5
SNHG7	ceRNA or sponge	XBP1
AU021063	expression association	TRIB3
LINC00691	transcriptional regulation	LIN28A
CYTOR	ceRNA or sponge	PTMA
YY1	transcriptional regulation	ARAP1-AS1
LINC00473	ceRNA or sponge	CDK6
SNHG1	expression association	CDH1
EWSAT1	epigenetic regulation	SNAI1
FOXD2-AS1	ceRNA or sponge	MIR4492
MBNL1-AS1	ceRNA or sponge	PHLPP2
Mirt2	epigenetic regulation	MIR1246
MYC	transcriptional regulation	SENEBLOC
CCHE1	expression association	COX2
LINC01436	ceRNA or sponge	APEX1
DANCR	transcriptional regulation	PTEN
PTENP1	ceRNA or sponge	SQSTM1
SNHG1	expression association	SOCS2
SNHG15	ceRNA or sponge	ZEB2
LINC00460	ceRNA or sponge	RAF1
E2F1	transcriptional regulation	TMPO-AS1
GAS5	interact with protein	ANXA2
NEAT1	expression association	ATP7A
LINC00665	transcriptional regulation	ANGPTL3
HOTAIR	ceRNA or sponge	miR-200a
XIST	ceRNA or sponge	NLRC5
POU5F1	expression association	AK055347
RPPH1	expression association	Caspase3
NEAT1	ceRNA or sponge	FN1
SNHG6	interact with protein	SNAI1
MALAT1	expression association	SLC26A2
RP11-670E13.6	ceRNA or sponge	CDK6
LINC-ROR	expression association	miR-205
HNF1A-AS1	expression association	CTNNB1
PVT1	interact with protein	UPF1
DSCAM-AS1	ceRNA or sponge	SOX4
FEZF1-AS1	ceRNA or sponge	SOX4
SNHG1	transcriptional regulation	PTEN
GAS5	ceRNA or sponge	HMGB1
ST8SIA6-AS1	ceRNA or sponge	HDAC11
LINC-ROR	ceRNA or sponge	FSCN1
PVT1	expression association	NFKB1
H19	expression association	MMP9
lnc-TSI	expression association	ACTA2
GAS5	expression association	IGF1R
TDRG1	ceRNA or sponge	ELK1
ALMS1-IT1	transcriptional regulation	RELA
PD-L1-lnc	interact with protein	MYC
ENSG00000231881	ceRNA or sponge	VEGFC
MALAT1	ceRNA or sponge	KRAS
TET3	expression association	HIF1A-AS1
PWAR5	interact with protein	EZH2
lncRNA-BCAT1	expression association	MYC
GIHCG	epigenetic regulation	miR-429
RAD51-AS1	ceRNA or sponge	NDRG2
PCAT1	epigenetic regulation	CENPF
CRNDE	ceRNA or sponge	miR-338-3p
CASC2	ceRNA or sponge	TIMP3
GASAL1	expression association	SRSF1
ZEB2-AS1	ceRNA or sponge	miR-27b
Moshe	expression association	HAND2
HOTAIR	epigenetic regulation	PDCD4
H19	expression association	let-7a
MALAT1	epigenetic regulation	miR-29a
GAS5	expression association	PCNA
LncHOXA10	expression association	HOXA10
EZR-AS1	interact with protein	SMYD3
MEG3	expression association	ICAM1
MXD1	epigenetic regulation	LNC-HZ01
HULC	expression association	CLOCK
LINC00941	ceRNA or sponge	SNAI1
ILF3-DT	ceRNA or sponge	SOX5
UCA1	ceRNA or sponge	miR-193a
SAMMSON	interact with protein	XRN2
YAP/TAZ-TEADcomplex	interact with protein	NORAD
MALAT1	expression association	MMP19
SNHG6	expression association	ATF3
CDKN2B-AS1	ceRNA or sponge	CCND2
CYTOR	ceRNA or sponge	YAP1
MALAT1	ceRNA or sponge	OASL
MALAT1	expression association	p-ERBB3
AGO2	ceRNA or sponge	CBL
BCYRN1	ceRNA or sponge	KRAS
STAT3	transcriptional regulation	LINC00165
MIAT	ceRNA or sponge	miR-150-5p
MALAT1	ceRNA or sponge	SMAD1
XIST	ceRNA or sponge	SMAD7
MEG3	ceRNA or sponge	GARS1
CDKN2B-AS1	expression association	miR-21
TUG1	epigenetic regulation	KLF2
MALAT1	ceRNA or sponge	miR-126-5p
PICSAR	expression association	MAPK1
CASC19	ceRNA or sponge	ZEB2
LINC-ROR	ceRNA or sponge	ABCB1
LINC00665	epigenetic regulation	YBX1
UPF1	transcriptional regulation	UCA1
SPAAR	ceRNA or sponge	CRLS1
LUCAT1	expression association	CDKN1C
SBF2-AS1	ceRNA or sponge	HDAC3
ZEB1-AS1	expression association	ITGB1
CCAT1	ceRNA or sponge	HNRNPA1
LINC00473	ceRNA or sponge	MAPK1
SENEBLOC	epigenetic regulation	CDKN1A
MALAT1	expression association	NOTCH1
H19	ceRNA or sponge	IGF1
XIST	ceRNA or sponge	GDF2
FTX	expression association	MIR137
FOXP4-AS1	epigenetic regulation	LATS1
TMPOP2	interact with protein	EZH2
WiNTRLINC1	expression association	ASCL2
SNHG7	expression association	MMP2
SNHG7	expression association	TP53
SNHG9	ceRNA or sponge	WNT3A
ZFAS1	ceRNA or sponge	EZH2
SOX2-OT	transcriptional regulation	SOX2
HBX	expression association	SNHG20
TUG1	ceRNA or sponge	CPEB2
EZH2	epigenetic regulation	RP11-598D14.1
EGFR	expression association	HOTAIR
TGFB1	expression association	ZEB2-AS1
LINC02381	ceRNA or sponge	miR-21
SOX21-AS1	ceRNA or sponge	MYO6
LINC01615	ceRNA or sponge	ZEB2
HNF1A-AS1	ceRNA or sponge	TRIM32
MALAT1	ceRNA or sponge	SOCS3
TTN-AS1	ceRNA or sponge	SFN
WSPAR	transcriptional regulation	SNAI2
PART1	ceRNA or sponge	SMAD3
SNHG15	expression association	SOX2
ZFAS1	ceRNA or sponge	miR-432-5p
HOXA-AS2	expression association	HOXA3
MEG3	expression association	PTEN
MIR17HG	ceRNA or sponge	BLNK
RUSC1-AS1	ceRNA or sponge	NOTCH3
MEG8	ceRNA or sponge	NOTCH2
HULC	expression association	BCL2
SMAD5-AS1	ceRNA or sponge	miR-135b-5p
DONSON	transcriptional regulation	SOX4
CCAT1	ceRNA or sponge	PDGFRA
MIR148A	expression association	Lnc-UCID
LINC00511	expression association	JAK2
Lnc-HZ08	interact with protein	CBL
TFDP1	expression association	CCL5
MALAT1	ceRNA or sponge	HMGA2
EREG	expression association	MRPL23-AS1
LNCRNA-ATB	ceRNA or sponge	ZNF217
NRCP	expression association	GPI
HNF1A-AS1	ceRNA or sponge	miR-17-5p
NORAD	ceRNA or sponge	UBE3A
N-BLR	interact with protein	miR-200c
SP1	transcriptional regulation	SNHG12
XIST	ceRNA or sponge	IL12A
CYTOR	ceRNA or sponge	miR-497
THRIL	ceRNA or sponge	CCL2
ADAMTS9-AS2	ceRNA or sponge	PHLPP2
GAS5	ceRNA or sponge	GSK3Â¦Ã
ROCR	interact with protein	SOX9
LINC00668	interact with protein	SUZ12
CCNL1	expression association	FOXO1
LATS2-AS1-001	interact with protein	YAP1
B4GALT1-AS1	ceRNA or sponge	FOXA1
LINC00472	epigenetic regulation	MCM6
FTH1P3	ceRNA or sponge	TPD52
SNHG1	ceRNA or sponge	PDCD4
MALAT1	expression association	miR-144-3p
HOTAIR	expression association	MMP3
lncRNAÂ¨CCDC6	ceRNA or sponge	CDC6
LINC00665	transcriptional regulation	ANGPT4
MALAT1	ceRNA or sponge	MAP3K3
PVT1	ceRNA or sponge	miR-199a-5p
HULC	ceRNA or sponge	SQSTM1
NEAT1	ceRNA or sponge	MAPK1
MIR4435-2HG	interact with protein	YBX1
XLOC_008466	ceRNA or sponge	MMP2
MEG3	ceRNA or sponge	IDO1
LSINCT5	expression association	NEAT1
AC096664.3	expression association	ABCG1
LOXL1-AS1	expression association	MMP2
HOTAIR	expression association	EGFR
MALAT1	epigenetic regulation	CDKN1A
FOXD2-AS1	epigenetic regulation	DKK1
HOTAIRM1	ceRNA or sponge	DLGAP1
SNHG16	ceRNA or sponge	miR-200a-3p
BDNF-AS	expression association	CDC42
HOTTIP	ceRNA or sponge	HMGB3
Â¦Â¤Np63Â¦Ã	expression association	PART1
DLX6-AS1	ceRNA or sponge	ERP44
MEG3	ceRNA or sponge	DKK2
H19	expression association	MMP2
EWSAT1	expression association	MEG3
THRIL	ceRNA or sponge	ATG4D
ZFAS1	expression association	WNT
MIR210HG	interact with protein	HIF1A
SOX2-OT	expression association	CDK1
SNHG16	ceRNA or sponge	IGF2
FOXM1	transcriptional regulation	TUG1
MALAT1	epigenetic regulation	TP53
LINC00511	ceRNA or sponge	miR-126-5p
GAS5	expression association	miR-21-5p
HULC	ceRNA or sponge	PPARA
ARHGAP5-AS1	interact with protein	SMAD7
ZFAS1	expression association	ZNFX1
RAB5IF	interact with protein	CTNNB1
SP1	expression association	HCP5
LOC90784	expression association	MMP9
HMMR-AS1	ceRNA or sponge	SIRT6
DANCR	ceRNA or sponge	RAB1A
HIF1A	transcriptional regulation	LINC00511
XIC	ceRNA or sponge	NELL2
miR-425-5p	interact with protein	MALAT1
TUG1	expression association	CCND1
ATXN8OS	ceRNA or sponge	miR-204
CRNDE	expression association	MYC
AL049437	ceRNA or sponge	MAPK1
PRDM16-DT	expression association	CDKN2A
XLOC_006390	expression association	PKM
LINC01503	transcriptional regulation	TOP-FLASH
LINC01234	ceRNA or sponge	SHMT2
ILF3-DT	ceRNA or sponge	PTEN
MIR205HG	expression association	KRT17
TP73-AS1	expression association	ALDH1A1
LINC00520	ceRNA or sponge	USP39
DUXAP10	interact with protein	EZH2
NORAD	ceRNA or sponge	CTNNB1
TUG1	ceRNA or sponge	ZEB2
CircZNF609	expression association	BAX
LINC00641	ceRNA or sponge	ATG5
MEG3	ceRNA or sponge	AFF1
AC114812.8	ceRNA or sponge	FUT4
CCAT2	expression association	OCT4-PG1
LINC00176	ceRNA or sponge	miR-9
XIST	ceRNA or sponge	PDE4D
HAGLR	ceRNA or sponge	SOX4
LINC00839	expression association	LIN28B
CERNA2	transcriptional regulation	let-7b
DANCR	ceRNA or sponge	MIR214
MAFG-DT	ceRNA or sponge	MMP15
FAM83H-AS1	epigenetic regulation	CDKN1A
BRCA1	transcriptional regulation	NEAT1
HOTAIR	ceRNA or sponge	RAB22A
UCA1	expression association	miR-185-5p
RPSAP52	ceRNA or sponge	MIR15A
FOXD3-AS1	expression association	CCND1
CCAT2	expression association	miR-145
ERLNC1	expression association	CCND1
CERS6-AS1	interact with protein	CERS6
KRAS	transcriptional regulation	CCAT2
TRPM2-AS	ceRNA or sponge	WEE1
UCA1	ceRNA or sponge	miR-122
SNHG7	ceRNA or sponge	MIR425
MALAT1	expression association	MCL1
91H	epigenetic regulation	H19
MRCCAT1	epigenetic regulation	NPR3
LOXL1-AS1	ceRNA or sponge	MYBL2
MALAT1	expression association	PPM1E
HOTTIP	transcriptional regulation	MIR196B
MALAT1	ceRNA or sponge	ATG4D
EPEL	expression association	CCNB1
ciRS-7	expression association	miR-26a-5p
MYC	transcriptional regulation	FGF13-AS1
SNHG6	expression association	BCL2
HNF1A-AS1	ceRNA or sponge	ATG5
GAS5	expression association	miR-21
MEG3	expression association	LATS2
PEG10	expression association	CDK4
LINC02418	ceRNA or sponge	KNL1
H19	expression association	SNORA7A
SP1	transcriptional regulation	LINC00313
TP53COR1	expression association	BCL2
CREB1	transcriptional regulation	HAS2-AS1
PVT1	expression association	TGFB1
HAND2-AS1	expression association	TGFB1
AB209371	ceRNA or sponge	SNAI1
DLX6-AS1	interact with protein	NOTCH1
SP1	expression association	SAMMSON
XIST	transcriptional regulation	SMAD2
H19	expression association	GSTP1
CYTOR	ceRNA or sponge	miR-195
SNHG7	expression association	MMP9
HOTAIR	epigenetic regulation	CDH1
LOC100507600	ceRNA or sponge	BMI1
NEAT1	ceRNA or sponge	miR-181a-5p
TP73-AS1	interact with protein	AKT1
LINC00997	expression association	S100A11
miR-103a	expression association	NEAT1
LINC00963	ceRNA or sponge	FN1
LINC02041	expression association	ATOH1
MEG3	expression association	VEGFA
AK022798	expression association	CASP3
NEAT1	ceRNA or sponge	ATG12
PCED1B-AS1	ceRNA or sponge	CD274
CDKN2B-AS1	interact with protein	YY1
TDRG1	ceRNA or sponge	miR-196
PVT1	ceRNA or sponge	SCUBE2
FOXD3-AS1	ceRNA or sponge	SIRT1
MIAT	ceRNA or sponge	miR-29b
LOXL1-AS1	ceRNA or sponge	miR-515-5p
LINC01355	transcriptional regulation	CCND1
SOX21-AS1	expression association	miR-7
HOTAIR	ceRNA or sponge	FOXR2
LINC00460	ceRNA or sponge	IL6
MIAT	ceRNA or sponge	SIRT1
PCGEM1	expression association	BCL2L1
DLEU2	expression association	miR-16-1-3p
HULC	interact with protein	miR-130b
OIP5-AS1	ceRNA or sponge	GLS
LINC00520	ceRNA or sponge	EIF5A2
SNHG12	ceRNA or sponge	miR-138
ILF3-DT	epigenetic regulation	miR-200b
HIX003209	expression association	TLR4
CTNNB1	transcriptional regulation	RMRP
LINC00460	ceRNA or sponge	FADS1
LOXL1-AS1	ceRNA or sponge	CCND1
TSLP	transcriptional regulation	HOTAIR
ROR1-AS1	ceRNA or sponge	miR-375
OECC	expression association	PIK3CA
LINC00052	ceRNA or sponge	miR-330-3p
LINC00662	ceRNA or sponge	WNT2A
LUCAT1	ceRNA or sponge	STAT3
CDKN2B-AS1	expression association	TGFB1
GIAT4RA	transcriptional regulation	HELLS
TTN-AS1	ceRNA or sponge	miR-193a-5p
HIF1A-AS2	expression association	HMGA1
FBXL19-AS1	expression association	MMP9
PRECSIT	transcriptional regulation	MYC
lnc-TSI	expression association	COL1A1
NR2F2-AS1	ceRNA or sponge	BMI1
EZR-AS1	epigenetic regulation	EZR
ATB	expression association	TGFB1
H19	ceRNA or sponge	CaMKIIÂ¦Ã
SOX2-OT	expression association	CCNB1
B3GALT5-AS1	transcriptional regulation	miR-203
HOTAIR	expression association	OGFR
BDNF-AS	expression association	CASP3
FOXD2-AS1	ceRNA or sponge	CPEB4
CASC2	ceRNA or sponge	PIAS3
LINC00173.v1	ceRNA or sponge	VEGFA
PCSEAT	ceRNA or sponge	EZH2
CRNDE	ceRNA or sponge	BCAT1
BLACAT1	ceRNA or sponge	miR-142-5p
LINC00858	expression association	WNK2
LINC01503	expression association	PI3K
LINC00536	expression association	WNT3A
TP73-AS1	ceRNA or sponge	PPP1R13L
SNHG1	ceRNA or sponge	MMPs
YAP1	transcriptional regulation	BCAR4
LINC01170	expression association	AKT1
miR-216a	ceRNA or sponge	MALAT1
MALAT1	expression association	PRKCE
MEG3	ceRNA or sponge	Nrf2
WSPAR	ceRNA or sponge	miR-200c
LINC00857	interact with protein	FOXK1
XIC	ceRNA or sponge	MIR367
CBR3-AS1	expression association	CDH2
FOXC2-AS1	ceRNA or sponge	MMP2
MALAT1	expression association	PI3K
SLC25A15	ceRNA or sponge	FOXN3
LUNAR1	expression association	IGF1
LDC1P	expression association	CTNNB1
LINC00858	ceRNA or sponge	SMAD7
FGD5-AS1	ceRNA or sponge	WEE1
HEIH	epigenetic regulation	miR-429
HNF1A-AS1	ceRNA or sponge	IL6
CDKN2B-AS1	transcriptional regulation	MAP4K1
THORLNC	expression association	SOX9
CCDC26	expression association	PCNA
NORAD	expression association	E2F3
LUADT1	ceRNA or sponge	Pim-1
MDRL	ceRNA or sponge	MIR361
SNHG7	ceRNA or sponge	ELAVL1
PCAT1	ceRNA or sponge	ANXA10
loc285194	ceRNA or sponge	miR-211
HOTAIR	expression association	PIK3R3
DBH-AS1	ceRNA or sponge	miR-233-3p
SNHG10	ceRNA or sponge	MYB
DLEU1	expression association	AKT1
LINC00205	ceRNA or sponge	CDK6
MALAT1	expression association	STC1
ZFAS1	ceRNA or sponge	RALY
MALAT1	expression association	ADGRL2
CDKN2B-AS1	ceRNA or sponge	SIRT1
HOTAIR	expression association	MRTFA
GAS5	epigenetic regulation	STAT3
PANDAR	expression association	MMP9
NBAT1	ceRNA or sponge	SOCS6
LINC-ROR	expression association	PROM1
NEAT1	ceRNA or sponge	HMGA1
LINC00673	epigenetic regulation	CDKN2C
HIX003209	ceRNA or sponge	TLR2
MT1JP	ceRNA or sponge	FBP1
HOXB-AS3	transcriptional regulation	CCNB2
lincNMR	expression association	RRM2
MEG3	ceRNA or sponge	miR-181a
miR-138-5p	transcriptional regulation	KCNQ1OT1
STAT3	transcriptional regulation	CASC9
WT1-AS	ceRNA or sponge	FOXN2
BCAR4	expression association	VIM
EGFR-AS1	ceRNA or sponge	miR-223
PCA3	ceRNA or sponge	HMGB1
H19	ceRNA or sponge	miR-193b-3p
HULC	transcriptional regulation	FOXM1
CASC15	expression association	CDH1
LNC-HZ01	expression association	USP36
CASC2	ceRNA or sponge	miR-362-5p
miR-193a	ceRNA or sponge	HOTAIR
SCARNA2	ceRNA or sponge	BCL2
DANCR	ceRNA or sponge	MSI2
MALAT1	ceRNA or sponge	RHOA
MIR17HG	epigenetic regulation	miR-142-3p
LINC00467	epigenetic regulation	DKK1
HOTAIR	transcriptional regulation	miR-34a
TMPO-AS1	expression association	TMPO
EIF3J-DT	ceRNA or sponge	CTNND2
HOTAIR	epigenetic regulation	miR-218-5p
GAS5	expression association	CDKN1A
LOC100507144	expression association	miR-21
ILF3-DT	ceRNA or sponge	MMP9
PSMA3-AS1	ceRNA or sponge	EZH2
HOTAIR	ceRNA or sponge	BBC3
LINC00672	expression association	LASP1
TUG1	ceRNA or sponge	EZH2
SNHG4	ceRNA or sponge	miR-98-5p
SNHG12	ceRNA or sponge	IGF2
LINC00115	ceRNA or sponge	ZEB1
CERNA2	ceRNA or sponge	SYF2
DANCR	ceRNA or sponge	AXL
SNHG14	ceRNA or sponge	KRAS
PGK1P2	ceRNA or sponge	PGK1
NEAT1	ceRNA or sponge	LEF1
H19	expression association	SPHK2
PANDAR	interact with protein	SRSF7
CDKN2B-AS1	expression association	CDK4
DUXAP9	expression association	miR-29c-3p
TATDN1	ceRNA or sponge	miR-140-3p
miR-148a	expression association	HOTAIR
BANCR	expression association	MAPK1
SNHG6-003	ceRNA or sponge	MAP3K7
LINC00520	ceRNA or sponge	FOXR2
AK001796	expression association	TP53
RAB5IF	interact with protein	MYC
LINC00958	ceRNA or sponge	NET1
HAGLR	ceRNA or sponge	E2F8
PAUPAR	epigenetic regulation	PAX6
SOX2	transcriptional regulation	PVT1
NORAD	expression association	RHOA
NRON	expression association	snaR
MEG3	ceRNA or sponge	SOCS3
ZNF667-AS1	expression association	MIR223
SNHG14	ceRNA or sponge	HMGB1
TUBA4B	expression association	PTEN
PANTR1	expression association	ROCK1
TUG1	ceRNA or sponge	p50
MEG3	expression association	miR-218
HOTAIR	interact with protein	DNMT1
FER1L4	ceRNA or sponge	SOCS5
TEAD4	transcriptional regulation	MNX1-AS1
RP11-476D10.1	ceRNA or sponge	LRRK2
MALAT1	ceRNA or sponge	TRAF6
HOXA11-AS	epigenetic regulation	CDKN1A
NEAT1	ceRNA or sponge	TIMM17A
lncRNA2448-11	expression association	THBD
KCNQ1OT1	ceRNA or sponge	miR-146a-3p
H19	epigenetic regulation	miR-200
LncHrt	transcriptional regulation	SIRT2
CamK-A	expression association	NFKB1
CDKN2B-AS1	ceRNA or sponge	ARHGAP18
SPRY4-IT1	expression association	WNT3
OIP5-AS1	ceRNA or sponge	SMAD3
LNCRNA-ATB	ceRNA or sponge	miR-126
lnc-ATB	expression association	N-cadherin
FOXP1	transcriptional regulation	HCG11
CTNNB1	transcriptional regulation	KCNQ1OT1
SNHG6	expression association	BAX
SNHG20	transcriptional regulation	VE-Cadherin
CASC19	ceRNA or sponge	E2F7
CERNA2	expression association	BAX
LINC01303	ceRNA or sponge	TIMP2
TINCR	expression association	KLF2
HOTAIR	expression association	LRRK2
LUCAT1	ceRNA or sponge	MYRF
lncRNA-AC078883.3	ceRNA or sponge	PTEN
LSINCT5	expression association	HMGA2
GAS5	interact with protein	ZBTB7A
PCBP2-OT1	expression association	CCNB1
SNHG16	ceRNA or sponge	miR-140-5p
TUG1	ceRNA or sponge	XBP1
MEG3	expression association	RB1
NORAD	ceRNA or sponge	WNT7B
IATPR	expression association	vimentin
SP1	transcriptional regulation	CDKN2B-AS1
TUG1	ceRNA or sponge	DUSP6
FTX	ceRNA or sponge	FMR1
LINC00210	ceRNA or sponge	IGF1R
MALAT1	expression association	GSK3B
SNHG8	expression association	CASP3
LINC00974	expression association	fibronectin
HNF1A-AS1	ceRNA or sponge	CDC34
H19	expression association	S1PR2
LINC00520	ceRNA or sponge	SPHK2
MIR4435-2HG	expression association	FZD7
GAS5	ceRNA or sponge	miR-135a
KCNQ1OT1	ceRNA or sponge	RAB14
UCA1	ceRNA or sponge	CDK6
NEAT1	transcriptional regulation	miR-342-3p
LNCARSR	ceRNA or sponge	miR-20b-3p
NORAD	expression association	miR-26a-5p
RP11-708H21.4	expression association	AKT1
ILF3-DT	epigenetic regulation	miR-200a
PXN-AS1-L	transcriptional regulation	SAPCD2
H19	expression association	GTF2H1
ESR1	transcriptional regulation	NEAT1
NEAT1	expression association	ATP8B
MEG3	ceRNA or sponge	Caspase8
SNHG6	ceRNA or sponge	MIR15A
LINC-PINT	expression association	miRNA-21
LINC-ROR	ceRNA or sponge	MDM2
LINC00645	ceRNA or sponge	ZEB1
MAFG-DT	interact with protein	miR-339-5p
AFAP1-AS1	ceRNA or sponge	SMAD5
SNHG12	ceRNA or sponge	miR-195
LINC00460	ceRNA or sponge	AGR2
PANTR1	expression association	PROM1
MALAT1	ceRNA or sponge	miR-429
CASC11	expression association	TGFB1
PART1	epigenetic regulation	PDGFB
SPRY4-IT1	expression association	AKT1
MINCR	ceRNA or sponge	ZEB1
E2F1	transcriptional regulation	TINCR
MALAT1	ceRNA or sponge	CAPNS1
PVT1	ceRNA or sponge	SMAD3
NEAT1	ceRNA or sponge	THBS1
LINC00355	ceRNA or sponge	CCNE1
NR2F1-AS1	ceRNA or sponge	SOX4
LINC00173	ceRNA or sponge	FBXW7
PVT1	epigenetic regulation	LATS2
DGCR5	ceRNA or sponge	EPHB6
XIST	epigenetic regulation	CDKN1A
FAM230B	ceRNA or sponge	WNT5A
MIR4435-2HG	ceRNA or sponge	FLOT2
EZH2	expression association	NKILA
NEAT1	expression association	CDH2
XIST	ceRNA or sponge	SOX4
HULC	interact with protein	BECN1
SBF2-AS1	ceRNA or sponge	GRB2
NKILA	interact with protein	NFKB1
NONHSAT113026	transcriptional regulation	NFKB1
lnc-AL445665.1-4	expression association	miR-146b-5p
SPRY4-IT1	expression association	PDK1
LOXL1-AS1	ceRNA or sponge	NFIB
TYKRIL	transcriptional regulation	TP53
CYTOR	ceRNA or sponge	RAB10
LINC00313	epigenetic regulation	ALX4
XLOC_006390	expression association	GDH1
TP73-AS1	ceRNA or sponge	TFAM
ST3GAL6-AS1	expression association	FOXO1
MT1JP	ceRNA or sponge	RUNX3
MIR222HG	expression association	MIR222
CISAL	expression association	BRCA1
