Regulator	SearchregulatoryMechanism	Target
SNHG4	transcriptional regulation	METTL3
TG2-lncRNA	transcriptional regulation	RXRA
TG2-lncRNA	transcriptional regulation	TP53
TSIX	ceRNA or sponge	RAD51
CASC2	ceRNA or sponge	TIMP3
LINC01133	transcriptional regulation	CDKN1A
LINC01133	transcriptional regulation	Cyclin A
MIR31HG	transcriptional regulation	LBH
CDKN2B-AS1	interact with protein	DUSP1
LINC00858	ceRNA or sponge	TRIM44
MALAT1	ceRNA or sponge	HMGA2
NEAT1	ceRNA or sponge	FRS2
LOC100505817	ceRNA or sponge	WT1
CDKN2B-AS1	ceRNA or sponge	STK39
ARHGAP5-AS1	interact with protein	SMAD7
LOC550643	transcriptional regulation	miR-125b-2-3p
PITPNA-AS1	ceRNA or sponge	SIK2
MYBL2	transcriptional regulation	PITPNA-AS1
LINC00852	ceRNA or sponge	KLF4
MROS-1	transcriptional regulation	PRUNE2
ELFN1-AS1	ceRNA or sponge	MTA1
NR2F1-AS1	ceRNA or sponge	MAP3K2
AFAP1-AS1	ceRNA or sponge	VEGFC
Lnc-STYK1-2	ceRNA or sponge	ITGA2
HCP5	ceRNA or sponge	PLAGL2
IGF2-AS	ceRNA or sponge	CREB1
TUG1	transcriptional regulation	miR-382-5p
SNHG1	transcriptional regulation	MYC
SNHG1	transcriptional regulation	PTEN
IGF2BP2	transcriptional regulation	CASC9
LINC01138	ceRNA or sponge	SP1
RP11-84C13.1	ceRNA or sponge	RUNX2
MALAT1	ceRNA or sponge	MAT2A
PSMA3-AS1	ceRNA or sponge	CD274
AL355711	transcriptional regulation	ABCG1
NEAT1	ceRNA or sponge	CYP1A2
SNHG9	ceRNA or sponge	WNT3A
SNHG11	ceRNA or sponge	VEGFA
NKILA	expression association	miR-485-5p
TUG1	ceRNA or sponge	CELF1
NONHSAT009986	transcriptional regulation	WNT3A
RP11-115N4.1	transcriptional regulation	HNRNPH3
SNHG1	ceRNA or sponge	TERT
E2F1	transcriptional regulation	SNHG1
GSTM3TV2	ceRNA or sponge	FOSL2
MALAT1	ceRNA or sponge	SP7
HAGLR	ceRNA or sponge	MECP2
HDAC3	transcriptional regulation	LOC101928316
MYLK-AS1	ceRNA or sponge	EZH2
AU021063	expression association	TRIB3
IL6	transcriptional regulation	AU021063
CCAT2	ceRNA or sponge	IGF2BP2
SNHG22	ceRNA or sponge	E2F3
TUG1	ceRNA or sponge	IGFBP5
NONHSAT069381	ceRNA or sponge	mCASP3
NONHSAT140844	ceRNA or sponge	mXIAP
CASC15	ceRNA or sponge	WNT7A
BCYRN1	chromatin looping	WNT5A
LINC00667	ceRNA or sponge	SLC2A3
HHIP<U+2011>AS1	ceRNA or sponge	PCDHGA9
KCNQ1OT1	ceRNA or sponge	miR-24-3p
LOXL1-AS1	ceRNA or sponge	SNX16
XIST	ceRNA or sponge	PIK3CA
PVT1	ceRNA or sponge	GRB2
MIAT	ceRNA or sponge	GPRC5A
KLF5	transcriptional regulation	DANCR
DANCR	ceRNA or sponge	AKT2
TUG1	ceRNA or sponge	TGFB1
EPIST	ceRNA or sponge	miR-149-5p
LINC01385	ceRNA or sponge	TLR4
DLGAP1-AS1	ceRNA or sponge	ROCK1
DLGAP1-AS1	ceRNA or sponge	NFE2L1
PCAT19	ceRNA or sponge	KDM3A
NR_002794	transcriptional regulation	TIE1
MIAT	ceRNA or sponge	JAK2
FENDRR	transcriptional regulation	CTNNB1
NEAT1	ceRNA or sponge	SLC26A2
lncBCAS1-4_1	transcriptional regulation	ZEB1
RP11-395G23.3	ceRNA or sponge	RORA
LNC000093	ceRNA or sponge	RUNX1
MEG3	ceRNA or sponge	IDO1
Linc8087	transcriptional regulation	COL4A2
Linc8087	transcriptional regulation	CST7
Linc8087	transcriptional regulation	FAT1
Linc8087	transcriptional regulation	SERPINE1
LINC00511	ceRNA or sponge	miR-126-5p
EPIST	ceRNA or sponge	DUSP1
MEG3	expression association	LRRK2
DRAIC	ceRNA or sponge	ITGA6
IFN¦Ã	transcriptional regulation	IFNG-AS1
IFN¦Ã	transcriptional regulation	MAFTRR
SP1	interact with protein	THAP7-AS1
METTL3	interact with protein	THAP7-AS2
THAP7-AS2	interact with protein	miR-22-3p
THAP7-AS2	interact with protein	miR-320a
VPS9D1-AS1	interact with protein	CDK4
AC012213.3	transcriptional regulation	RAD54B
ZFAS1	ceRNA or sponge	HMGA2
TP53COR1	ceRNA or sponge	SIRT1
SIRT1	epigenetic regulation	PCSK9
YY1	transcriptional regulation	LINC01224
LINC01224	ceRNA or sponge	MYO6
KCNQ1OT1	ceRNA or sponge	GAB1
NR2F1-AS1	interact with protein	NR2F1
NEAT1	ceRNA or sponge	PRKDC
OIP5-AS1	ceRNA or sponge	VOPP1
SNHG12	ceRNA or sponge	IGF2
MIAT	ceRNA or sponge	LASP1
LINC00662	ceRNA or sponge	ITPR1
SNX20AR	epigenetic regulation	SNX20
7SK	interact with protein	CDC6
NEAT1	ceRNA or sponge	GSDME
YY1	transcriptional regulation	HCG11
HCG11	interact with protein	CDKN1B
METTL3	interact with mRNA	FOXD2-AS1
LINC-ROR	expression association	let-7b-5p
GRASLND	ceRNA or sponge	LOX
TGFB1	expression association	GRASLND
NEAT1	ceRNA or sponge	SP1
NEAT1	ceRNA or sponge	RUNX2
FAM66C	ceRNA or sponge	KCND2
HOXC-AS3	transcriptional regulation	miR-105-5p
HOXC-AS3	expression association	SOS1
OXCT1-AS1	epigenetic regulation	LEF1
SCDAL	interact with protein	GDF6
MALAT1	ceRNA or sponge	SMAD1
FOXD1-AS1	interact with mRNA	FOXD1
LncHrt	transcriptional regulation	SIRT2
MCF2L-AS1	ceRNA or sponge	RAB22A
LINC01410	transcriptional regulation	STAT5A
RMRP	ceRNA or sponge	NRP2
ILF3-DT	interact with protein	ILF3
PART1	ceRNA or sponge	RUNX3
SNHG10	transcriptional regulation	MIR3690
SOX21-AS1	ceRNA or sponge	PIM2
PCGEM1	ceRNA or sponge	miR-152-3p
PVT1	ceRNA or sponge	KLF5
PCDHB17P	ceRNA or sponge	MELK
NFKB1	transcriptional regulation	PCDHB17P
SNHG17	ceRNA or sponge	H2AX
FOXC2-AS1	interact with protein	FOXC2
AC016745.3	expression association	NONO
AC016745.3	expression association	AR
FEZF1-AS1	expression association	ATG5
LINC01234	ceRNA or sponge	SYNJ1
LINC01554	expression association	G3BP2
GAS5	ceRNA or sponge	INPP5D
PAX8-AS1	ceRNA or sponge	PKN2
HDAC1	expression association	NONHSAT113026
TFAP2A-AS1	ceRNA or sponge	NISCH
NEAT1	ceRNA or sponge	p38
RP11-531A24.3	expression association	ANXA2
NONRATG019935.2	expression association	TP53
MEG8	ceRNA or sponge	Notch
SNHG1	ceRNA or sponge	VEGFA
IPO7	ceRNA or sponge	MALAT1
TMEM220-AS1	expression association	TMEM220
HAGLR	ceRNA or sponge	LDHA
SNHG20	ceRNA or sponge	ROCK1
CRNDE	ceRNA or sponge	MCM5
SNHG17	ceRNA or sponge	Trim23-PES1
SNHG18	ceRNA or sponge	FOSL2
TMPO-AS1	ceRNA or sponge	E2F2
SNHG6	ceRNA or sponge	EZH2
LINC01050	ceRNA or sponge	SPZ1
PPM1A-AS	expression association	NOTCH4
PPM1A-AS	expression association	STAT3
PPM1A-AS	expression association	AKT1
FOXD3-AS1	ceRNA or sponge	CDK6
AY927529	expression association	CXCL14
THRIL	ceRNA or sponge	ATG4D
LINC01094	ceRNA or sponge	CHSY1
HOXA-AS3	ceRNA or sponge	LPCAT1
SNHG17	ceRNA or sponge	NETO2
SNHG17	expression association	LRPPRC
SNHG18	expression association	MYC
LIFR-AS1	ceRNA or sponge	VEGFA
LINC00839	expression association	miR-3666
MEG3	ceRNA or sponge	PPARG
HNF1A-AS1	ceRNA or sponge	IL6
KCNQ1OT1	ceRNA or sponge	MFAP2
HOXA-AS3	ceRNA or sponge	SPNS2
GRIK1-AS1	ceRNA or sponge	IFIT2
PCAT1	expression association	miR-129-5p
PCAT1	expression association	HMGB1
XLOC_006753	expression association	Caspase9
XLOC_006753	expression association	EIF4EBP1
XLOC_006753	expression association	PIK3CA
XLOC_006753	expression association	AKT1
XLOC_006753	expression association	MTOR
XLOC_006753	expression association	RPS6KB1
XLOC_006753	expression association	RPS6
B4GALT1-AS1	interact with protein	ELAVL1
B4GALT1-AS1	expression association	YY1AP1
LINC00261	epigenetic regulation	DPYD
LINC01433	ceRNA or sponge	STAT3
MALAT1	ceRNA or sponge	NEDD9
ESR2	transcriptional regulation	MALAT1
LNCRNA-ATB	ceRNA or sponge	miR-204-3p
DANCR	interact with protein	RXRA
DANCR	expression association	PIK3CA
DUXAP9-206	interact with protein	CBLB
DUXAP9-206	expression association	EGFR
H19	ceRNA or sponge	SIRT1
PCAT6	ceRNA or sponge	MKRN3
LNCBRM	ceRNA or sponge	TPT1
DLX6-AS1	ceRNA or sponge	DLK1
SAMMSON	interact with protein	CARF
SAMMSON	interact with protein	XRN2
ELF3-AS1	interact with protein	KLF8
KLF8	transcriptional regulation	ELF3-AS1
H19	interact with protein	MBD1
TNK2-AS1	interact with protein	STAT3
STAT3	transcriptional regulation	TNK2-AS1
TNK2-AS1	expression association	VEGFA
SNHG1	ceRNA or sponge	ADAM10
MALAT1	ceRNA or sponge	MSL2
MALAT1	interact with protein	NFKB1
MALAT1	expression association	CD80
MALAT1	interact with protein	P65
XLOC_006390	ceRNA or sponge	miR-331-3p
XLOC_006390	ceRNA or sponge	miR-338-3p
XLOC_006390	expression association	NRP2
XLOC_006390	expression association	PKM
XLOC_006390	expression association	EYA2
HOXC13-AS	ceRNA or sponge	HMGA2
LncHOXA10	expression association	HOXA10
LncHOXA10	interact with protein	SMARCA1
H19	ceRNA or sponge	USP4
CamK-A	interact with protein	PNCK
CamK-A	interact with protein	NFKBIA
CamK-A	expression association	NFKB1
E2F1	transcriptional regulation	MNX1-AS1
MNX1-AS1	ceRNA or sponge	SEC61A1
DCXR-DT	expression association	RAC3
TCONS_00023979	expression association	PML
KCNQ1OT1	ceRNA or sponge	HSP90AA1
PANDAR	interact with protein	SRSF2
PANDAR	expression association	TP53
MALAT1	ceRNA or sponge	CCND2
H19	expression association	ESR1
CCHE1	expression association	MAPK3
CCHE1	expression association	COX2
CCHE1	expression association	MAPK1
LncHDAC2	transcriptional regulation	PTCH1
LncHDAC2	interact with protein	HDAC2
TP53COR1	ceRNA or sponge	SMOC1
TP53COR1	expression association	BCL2
TP53COR1	expression association	MMP9
GAS8-AS1	interact with protein	MLL1
GAS8-AS1	interact with protein	WDR5
GAS8-AS1	epigenetic regulation	GAS8
NEAT1	ceRNA or sponge	KRAS
LINC-01572:28	expression association	CDKN1B
LINC-01572:28	interact with protein	SKP2
AFAP1-AS1	ceRNA or sponge	EGFR
BORG	interact with protein	RPA1
CASC9	ceRNA or sponge	STAT3
STAT3	transcriptional regulation	CASC9
HAND2-AS1	expression association	TGFB1
RUNX1-IT1	expression association	PCNA
RUNX1-IT1	expression association	Ki67
RUNX1-IT1	expression association	MMP9
NNT-AS1	expression association	CTNNB1
NNT-AS1	expression association	RUNX2
NNT-AS1	expression association	IGF1R
NNT-AS1	expression association	MYC
NNT-AS1	expression association	Cyclin D1
NNT-AS1	expression association	MMP13
NNT-AS1	ceRNA or sponge	miR-320a
LINC00707	ceRNA or sponge	CDK14
ANKRD40CL	ceRNA or sponge	FMNL2
HULC	expression association	MIR15A
SNHG1	ceRNA or sponge	ROCK1
MYC	transcriptional regulation	LINC00319
LINC00319	interact with mRNA	SIRT6
LINC00319	interact with protein	FUS
PCAT1	ceRNA or sponge	LRIG2
IRF4	transcriptional regulation	SOX2-OT
SOX2-OT	expression association	PTEN
DANCR	interact with protein	ILF3
DANCR	interact with protein	ILF2
DANCR	interact with mRNA	HIF1A
FOXD2-AS1	ceRNA or sponge	AKT1
CREB1	transcriptional regulation	FOXD2-AS1
ELK1	transcriptional regulation	MIR100HG
MIR100HG	epigenetic regulation	LATS1
MIR100HG	epigenetic regulation	LATS2
MIR100HG	interact with protein	EZH2
circPVT1	ceRNA or sponge	E2F2
FOS	transcriptional regulation	circPVT1
P5848	transcriptional regulation	ENO1
ABHD11-AS1	ceRNA or sponge	WNT11
LNCRNA-ATB	interact with protein	DNMT1
LNCRNA-ATB	transcriptional regulation	TP53
UCA1	expression association	SNCA
SNHG7	ceRNA or sponge	MIR186
MALAT1	ceRNA or sponge	BRWD1
DLX6-AS1	ceRNA or sponge	miR-199a
TMEM238L	expression association	BCL2
TMEM238L	expression association	BAX
TMEM238L	expression association	GSK-3beta
TMEM238L	expression association	CTNNB1
GAS5	expression association	PIK3CA
lncRNA¨CCDC6	ceRNA or sponge	CDC6
LIN28B-AS1	interact with mRNA	LIN28B
AFAP1-AS1	ceRNA or sponge	RAB11B
AFAP1-AS1	ceRNA or sponge	LASP1
AFAP1-AS1	ceRNA or sponge	FOSL2
NEAT1	ceRNA or sponge	SIRT1
GCAWKR	interact with protein	WDR5
GCAWKR	interact with protein	KAT2A
GCAWKR	epigenetic regulation	PTP4A1
ADAMTS9-AS2	ceRNA or sponge	FOXF2
lnc-MMP2-2	expression association	MMP2
TCONS_00024652	ceRNA or sponge	MIR21
H19	ceRNA or sponge	NF1
CEBPB	transcriptional regulation	NTT
NTT	transcriptional regulation	PBOV1
PNCTR	interact with mRNA	PTBP1
lnc-RAB1A-2	expression association	FGF1
lncRNA2448-11	expression association	TNF
lncRNA2448-11	expression association	IL1B
lncRNA2448-11	expression association	TGFB1
lncRNA2448-11	expression association	THBD
lncRNA1403	expression association	TNF
lncRNA1403	expression association	IL1B
lncRNA1403	expression association	TGFB1
lncRNA1403	expression association	THBD
miR-675	ceRNA or sponge	H19
H19	ceRNA or sponge	miR-141
MEG3	ceRNA or sponge	miR-181a
MEG3	ceRNA or sponge	miR-148a
MEG3	ceRNA or sponge	miR-141
NRON	expression association	NFAT
H19	ceRNA or sponge	STAT3
LERFS	interact with protein	SYNCRIP
LERFS	transcriptional regulation	CDC42
LERFS	transcriptional regulation	RAC1
ENSG00000231881	ceRNA or sponge	VEGFC
NEAT1_2	ceRNA or sponge	WEE1
NONHSAT105177	expression association	CLU
HOTTIP	expression association	CDKN1A
HOTTIP	expression association	DKK1
MET	expression association	SNHG5
SNHG5	ceRNA or sponge	miR-20a
COMETT	expression association	CCND1
COMETT	expression association	CCNE1
COMETT	expression association	MMP2
COMETT	expression association	MMP7
COMETT	expression association	MMP9
COMETT	expression association	CTNNB1
FTH1P3	ceRNA or sponge	TPD52
DSCAM-AS1	ceRNA or sponge	EPS8
RAD51-AS1	transcriptional regulation	RAD51
HOTAIR	epigenetic regulation	MIR122
HOTAIR	expression association	DNMT3A
HOTAIR	expression association	CCNG1
H19	expression association	PRKAA1
OIP5-AS1	ceRNA or sponge	ITGA6
MEG3	interact with mRNA	TP63
MEG3	expression association	KRT14
MEG3	interact with protein	STAT3
MEG3	interact with protein	YAP1
MEG3	expression association	TP73
MEG3	expression association	SOX2
MEG3	expression association	HEY1
LINC00963	ceRNA or sponge	NACC1
CALML3-AS1	ceRNA or sponge	ZBTB2
CASC2	expression association	CDH1
CASC2	expression association	ZEB1
CASC2	expression association	CDH2
LINC000607	expression association	TP53
LINC000607	transcriptional regulation	RELA
LINC02303	transcriptional regulation	PSMD9
BANCR	expression association	BAX
BANCR	expression association	TP53
NR2F2-AS1	ceRNA or sponge	BMI1
LUCAT1	interact with protein	ANXA2
MIAT	ceRNA or sponge	COX2
HULC	interact with protein	AKT1
PCAT6	transcriptional regulation	ARC
DANCR	transcriptional regulation	PTEN
HOTAIR	ceRNA or sponge	TUBGCP5
ELL2	interact with protein	MAPK14
LINC00324	ceRNA or sponge	AKT1
MEG3	expression association	SPHK1
FALEC	expression association	PTEN
SNHG8	expression association	PARP1
JPX	interact with protein	PIK3CA
JPX	interact with protein	AKT1
JPX	interact with protein	MTOR
MIAT	ceRNA or sponge	SIRT1
MIAT	ceRNA or sponge	PPARGC1A
miR-19b-3p	expression association	LINC00667
SP1	expression association	HCP5
CRNDE	ceRNA or sponge	miR-338-3p
LINC01116	expression association	CDKN1C
MALAT1	ceRNA or sponge	MIR328
LINC01585	expression association	CAMP
LINC01585	expression association	CREB
MAFG-DT	ceRNA or sponge	NDUFA4
MAPKAPK5-AS1	expression association	CDKN1A
RPL13AP20	ceRNA or sponge	EZH2
LINC00210	ceRNA or sponge	NOTCH3
NORAD	expression association	CAPN7
EGFR-AS1	expression association	EGFR,
EGFR-AS1	expression association	p-JAK
EGFR-AS1	expression association	p-STAT
CRNDE	expression association	PIK3CA
CRNDE	expression association	AKT1
MEG3	ceRNA or sponge	BRCA1
CDKN2B-AS1	ceRNA or sponge	ABCC1
OGFRP1	ceRNA or sponge	LYPD3
CRNDE	ceRNA or sponge	CCL18
PCGEM1	ceRNA or sponge	STAT3
PRNCR1	ceRNA or sponge	HEY2
SNHG17	expression association	p15
SNHG17	expression association	CDKN1C
SNHG12	ceRNA or sponge	STAT3
MIF-AS1	ceRNA or sponge	NDUFA4
GAS5	expression association	Caspase3
GAS5	expression association	Caspase9
CRNDE	ceRNA or sponge	BCAT1
TP53COR1	epigenetic regulation	E-cadherin
TUG1	chromatin looping	TIMP2
NEXN-AS1	chromatin looping	NEXN
DDN-AS1	ceRNA or sponge	TCF3
TUG1	ceRNA or sponge	miR-384
CRCMSL	interact with protein	HMGB2
SNHG16	ceRNA or sponge	miR-384
FENDRR	epigenetic regulation	GPC3
LINC-PINT	expression association	miR-21
PCA3	ceRNA or sponge	HMGB1
CASC2	ceRNA or sponge	RBBP8
LINC-ROR	ceRNA or sponge	miR-206
GREP1	ceRNA or sponge	CDC23
RMRP	ceRNA or sponge	miR-206
XIST	ceRNA or sponge	CDK6
DLX6-AS1	ceRNA or sponge	PRR11
TUG1	epigenetic regulation	miR-34a
KTN1-AS1	ceRNA or sponge	ERBIN
AZIN2-sv	epigenetic regulation	TLN1
MRPL36	chromatin looping	AZIN2-sv
AZIN2-sv	epigenetic regulation	PTEN
H19	ceRNA or sponge	CDC42
CASC9	ceRNA or sponge	LIN7A
DANCR	expression association	HMGA2
B3GALT5-AS1	transcriptional regulation	miR-203
SNHG7	expression association	CTNNB1
TINCR	expression association	miR-107
FOXD2-AS1	ceRNA or sponge	CCND2
HAND2-AS1	expression association	MIR21
SNHG20	ceRNA or sponge	ZFX
UCA1	ceRNA or sponge	NR2C2
LINC00320	interact with protein	CTNNB1
APC1	interact with protein	RAB5B
NORAD	ceRNA or sponge	JUNB
CCAT1	ceRNA or sponge	PKC¦Æ
OIP5-AS1	ceRNA or sponge	FN1
CASC11	ceRNA or sponge	CDK1
NFKB1	expression association	MIR31HG
HOTAIR	interact with protein	AKT1
IATPR	expression association	SNAI1
IATPR	expression association	SOX2
IATPR	expression association	NANOG
IATPR	expression association	POU5F1
IATPR	expression association	MYC
IATPR	expression association	PROM1
IATPR	expression association	IRS1
IATPR	expression association	vimentin
IATPR	expression association	MIR211
MALAT1	expression association	PPM1E
LNCNEF	expression association	Wnt
lnc-TSI	interact with protein	SMAD3
lnc-TSI	expression association	SNAI1
lnc-TSI	expression association	COL1A1
lnc-TSI	expression association	ACTA2
TP53COR1	expression association	TGFB1
LOC105374325	ceRNA or sponge	BAX
LOC105374325	ceRNA or sponge	BAK1
P38	expression association	LOC105374325
CEBPB	transcriptional regulation	LOC105374325
LINC00628	expression association	p-PI3K
LINC00628	expression association	p-Akt
LINC00628	expression association	BCL2
SNHG14	ceRNA or sponge	MIR340
lncRNA-135528	expression association	CXCL10
THORLNC	expression association	SOX9
lncRNA-IFI6	epigenetic regulation	IFI6
HOTAIR	epigenetic regulation	PRB
EPIST	expression association	CYC1
NEAT1	expression association	MMP9
NEAT1	expression association	PROM1
NEAT1	expression association	CD44
NEAT1	expression association	ABCG2
NEAT1	expression association	SOX2
NEAT1	expression association	NANOG
NEAT1	expression association	POU5F1
CXCL8	expression association	MALAT1
AK006025	transcriptional regulation	CXCL9
AK006025	transcriptional regulation	MIR675
AK006025	transcriptional regulation	CXCL11
FEZF1-AS1	ceRNA or sponge	MIR4443
TGFB2	expression association	HOTAIR
DUXAP9	expression association	Cyclin D1
MRPL39	ceRNA or sponge	miR-130
LINC00974	expression association	alpha-SMA
LINC00974	expression association	alpha-1 type I collagen
LINC00974	expression association	fibronectin
LINC00974	expression association	SMAD2
MAGI2-AS3	ceRNA or sponge	CFAP45
CDKN2B-AS1	epigenetic regulation	ZBTB16
MALAT1	ceRNA or sponge	miR-22-3p
HAGLROS	ceRNA or sponge	ATG5
DANCR	ceRNA or sponge	KLF12
GAS8-AS1	ceRNA or sponge	CCNG2
LSINCT5	interact with protein	APC
FEZF1-AS1	interact with protein	STAT3
CA3-AS1	ceRNA or sponge	PTEN
HOXA-AS2	ceRNA or sponge	SMAD2
LINC00461	ceRNA or sponge	BCL2
NEAT1	ceRNA or sponge	miR-193a-3p
H19	interact with protein	EIF4EBP1
LNC-LBCS	interact with protein	HNRNPK
LNC-LBCS	interact with protein	EZH2
LNC-LBCS	epigenetic regulation	SOX2
ARSR	expression association	STAT3
H19	ceRNA or sponge	ER¦Â
TUG1	ceRNA or sponge	miR-196a
TUG1	expression association	p-JNK
TUG1	expression association	p-ERK
TUG1	expression association	p-AKT
NEAT1	ceRNA or sponge	GDNF
TPTE2P1	expression association	Caspase3
TPTE2P1	expression association	PARP1
TPTE2P1	expression association	BAD
TPTE2P1	expression association	BCL2
HOTAIRM1	epigenetic regulation	HOXA1
CHRF	ceRNA or sponge	MYD88
CARL	ceRNA or sponge	PHB2
MDRL	ceRNA or sponge	MIR361
MDRL	ceRNA or sponge	MIR484
H19	ceRNA or sponge	SOX6
APF	ceRNA or sponge	ATG7
NKRF	ceRNA or sponge	RIPK1
NKRF	ceRNA or sponge	RIPK3
Ang262	ceRNA or sponge	miR©\221
Ang262	ceRNA or sponge	miR©\222
H19	ceRNA or sponge	CaMKII¦Ä
MALAT1	ceRNA or sponge	CXCR2
MALAT1	ceRNA or sponge	AKT1
LINC-ROR	ceRNA or sponge	miR-133
LINC01116	expression association	BCL2
LINC01116	expression association	Caspase3
LINC01116	expression association	Caspase9
HOTAIR	epigenetic regulation	p15
MEG3	ceRNA or sponge	GDNF
RMRP	ceRNA or sponge	TACR1
DANCR	ceRNA or sponge	TGFBR1
TUG1	ceRNA or sponge	miR-204-5p
MEG3	ceRNA or sponge	AFF1
NR4A3	transcriptional regulation	Giver
Giver	transcriptional regulation	NR4A3
Giver	expression association	CCL2
Giver	expression association	IL6
Giver	expression association	TNF
Giver	interact with protein	NONO
MEG3	ceRNA or sponge	QKI-5
LINC00161	ceRNA or sponge	MAPK1
TP53COR1	expression association	BBC3
MIR4658	expression association	CCSlnc362
THORLNC	interact with protein	IGF2BP1
THORLNC	expression association	IGF2
THORLNC	expression association	GLI1
MALAT1	ceRNA or sponge	miR-429
ZNF281	expression association	PROM1
ZNF281	expression association	Nestin
ZNF281	expression association	POU5F1
ZNF281	expression association	NANOG
FALEC	expression association	DRP1
HOTAIR	ceRNA or sponge	miR-218
NLIPMT	expression association	GSK3¦Â
XIC	ceRNA or sponge	MIR17
SNHG12	ceRNA or sponge	miR-181a
CCAT1	ceRNA or sponge	let-7c
AGER	ceRNA or sponge	miR-185
SNHG7	ceRNA or sponge	miR-193b
HATAIR	ceRNA or sponge	miR-613
HOTTIP	ceRNA or sponge	miR-547-5p
SNHG6	ceRNA or sponge	miR-146-a
CCAT1	ceRNA or sponge	miR-130a-3p
HOXO-AS1	ceRNA or sponge	miR-147a
LINC00319	ceRNA or sponge	MIR32
XLOC-00846	ceRNA or sponge	MIR874
LINC00858	ceRNA or sponge	MIR422A
UCA1	ceRNA or sponge	miR-193a-3p
NEAT1	ceRNA or sponge	MIR499B
NEAT1	ceRNA or sponge	miR-377-3p
NEAT1	ceRNA or sponge	miR-181a-5p
NEAT1	ceRNA or sponge	miR-98-5p
MALAT1	ceRNA or sponge	miR-204
HOXA11-AS	ceRNA or sponge	miR-200b
PVT1	ceRNA or sponge	miR-126
PVT1	ceRNA or sponge	miR-199a-5p
H19	ceRNA or sponge	miR-107
XIST	ceRNA or sponge	miR-449a
XIST	ceRNA or sponge	miR-140
XIC	ceRNA or sponge	MIR367
XIST	ceRNA or sponge	miR-141
SNHG1	ceRNA or sponge	MIA3
SNHG1	expression association	BCL2
SNHG1	expression association	VEGFA
SNHG1	expression association	BAX
SNHG1	expression association	Caspase3
SNHG5	ceRNA or sponge	CREB5
DLEU1	ceRNA or sponge	CXCR4
MEG3	ceRNA or sponge	TIGIT
LINC00641	ceRNA or sponge	ATG5
SLC8A1-AS1	expression association	SLC8A1
CASC2	ceRNA or sponge	miR-19a
DRHC	expression association	MYBBP1A
DRHC	expression association	MYB
HOTAIR	ceRNA or sponge	miR-126
HOTAIR	expression association	GSK3¦Â
lnc-ATB	ceRNA or sponge	ZEB1
lnc-ATB	ceRNA or sponge	ZEB2
lnc-ATB	expression association	N-cadherin
lnc-ATB	expression association	vimentin
lnc-ATB	expression association	E-cadherin
H19	ceRNA or sponge	let-7c
LINC01133	expression association	GDF15
GDF15	expression association	LINC01133
LINC00342	expression association	TP53
LINC00342	expression association	PTEN
HULC	ceRNA or sponge	MIR186
PVT1	ceRNA or sponge	CDK1
NBAT1	ceRNA or sponge	SOCS6
CYTOR	ceRNA or sponge	CCND1
H19	ceRNA or sponge	CRYAA
TTTY15	ceRNA or sponge	let-7
THRIL	ceRNA or sponge	miR-125b
CASC11	epigenetic regulation	PTEN
